"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Interest Payment Frequency","Interest Rate"
"912827NP3","Note","5-Year 2-Month","08/31/1982","09/07/1982","11/15/1987","","Semi-Annual","12.625%"
"912794BB9","Bill","13-Week","08/30/1982","09/02/1982","12/02/1982","","",""
"912794CL6","Bill","26-Week","08/30/1982","09/02/1982","03/03/1983","","",""
"912827NN8","Note","2-Year","08/25/1982","08/31/1982","08/31/1984","","Semi-Annual","11.625%"
"912794BU7","Bill","13-Week","08/23/1982","08/26/1982","11/26/1982","","",""
"912794BZ6","Bill","26-Week","08/23/1982","08/26/1982","02/24/1983","","",""
"912794BT0","Bill","13-Week","08/16/1982","08/19/1982","11/18/1982","","",""
"912794CK8","Bill","26-Week","08/16/1982","08/19/1982","02/17/1983","","",""
"912794BS2","Bill","13-Week","08/09/1982","08/12/1982","11/12/1982","","",""
"912794CJ1","Bill","26-Week","08/09/1982","08/12/1982","02/10/1983","","",""
"912794DB7","Bill","52-Week","08/05/1982","08/12/1982","08/11/1983","","",""
"912827NE8","Note","9-Year 9-Month","08/04/1982","08/16/1982","05/15/1992","","Semi-Annual","13.750%"
"912827NM0","Note","3-Year","08/03/1982","08/16/1982","08/15/1985","","Semi-Annual","13.125%"
"912794BA1","Bill","13-Week","08/02/1982","08/05/1982","11/04/1982","","",""
"912794CH5","Bill","26-Week","08/02/1982","08/05/1982","02/03/1983","","",""
"912794BL7","Bill","43-Day","07/29/1982","08/04/1982","09/16/1982","","",""
"912794BR4","Bill","13-Week","07/26/1982","07/29/1982","10/28/1982","","",""
"912794BY9","Bill","26-Week","07/26/1982","07/29/1982","01/27/1983","","",""
"912827NL2","Note","2-Year","07/21/1982","08/02/1982","07/31/1984","","Semi-Annual","13.125%"
"912794BQ6","Bill","13-Week","07/19/1982","07/22/1982","10/21/1982","","",""
"912794CG7","Bill","26-Week","07/19/1982","07/22/1982","01/20/1983","","",""
"912794BP8","Bill","13-Week","07/12/1982","07/15/1982","10/14/1982","","",""
"912794CF9","Bill","26-Week","07/12/1982","07/15/1982","01/13/1983","","",""
"912794DA9","Bill","52-Week","07/08/1982","07/15/1982","07/14/1983","","",""
"912794AZ7","Bill","13-Week","07/06/1982","07/08/1982","10/07/1982","","",""
"912794CE2","Bill","26-Week","07/06/1982","07/08/1982","01/06/1983","","",""
"912827NK4","Note","7-Year","07/01/1982","07/08/1982","07/15/1989","","Semi-Annual","14.500%"
"912827NJ7","Note","4-Year","06/29/1982","07/06/1982","06/30/1986","","Semi-Annual","14.875%"
"912794BN3","Bill","13-Week","06/28/1982","07/01/1982","09/30/1982","","",""
"912794BC7","Bill","26-Week","06/28/1982","07/01/1982","12/30/1982","","",""
"912794BM5","Bill","13-Week","06/21/1982","06/24/1982","09/23/1982","","",""
"912794BX1","Bill","26-Week","06/21/1982","06/24/1982","12/23/1982","","",""
"912827NH1","Note","2-Year","06/16/1982","06/30/1982","06/30/1984","","Semi-Annual","14.375%"
"912794BL7","Bill","13-Week","06/14/1982","06/17/1982","09/16/1982","","",""
"912794BW3","Bill","26-Week","06/14/1982","06/17/1982","12/16/1982","","",""
"912794CD4","Bill","52-Week","06/10/1982","06/17/1982","06/16/1983","","",""
"912794AY0","Bill","13-Week","06/07/1982","06/10/1982","09/09/1982","","",""
"912794BV5","Bill","26-Week","06/07/1982","06/10/1982","12/09/1982","","",""
"9127937J9","Bill","14-Day","06/01/1982","06/03/1982","06/17/1982","","",""
"912794BK9","Bill","13-Week","05/28/1982","06/03/1982","09/02/1982","","",""
"912794BB9","Bill","26-Week","05/28/1982","06/03/1982","12/02/1982","","",""
"912827NG3","Note","5-Year 2-Month","05/25/1982","06/02/1982","08/15/1987","","Semi-Annual","13.750%"
"912794BJ2","Bill","13-Week","05/24/1982","05/27/1982","08/26/1982","","",""
"912794BU7","Bill","26-Week","05/24/1982","05/27/1982","11/26/1982","","",""
"912827NF5","Note","2-Year","05/19/1982","06/01/1982","05/31/1984","","Semi-Annual","13.750%"
"912794BH6","Bill","13-Week","05/17/1982","05/20/1982","08/19/1982","","",""
"912794BT0","Bill","26-Week","05/17/1982","05/20/1982","11/18/1982","","",""
"912794CC6","Bill","52-Week","05/13/1982","05/20/1982","05/19/1983","","",""
"912794AX2","Bill","13-Week","05/10/1982","05/13/1982","08/12/1982","","",""
"912794BS2","Bill","26-Week","05/10/1982","05/13/1982","11/12/1982","","",""
"912827NE8","Note","10-Year","05/05/1982","05/17/1982","05/15/1992","","Semi-Annual","13.750%"
"912827ND0","Note","3-Year","05/04/1982","05/17/1982","05/15/1985","","Semi-Annual","14.125%"
"912794BG8","Bill","13-Week","05/03/1982","05/06/1982","08/05/1982","","",""
"912794BA1","Bill","26-Week","05/03/1982","05/06/1982","11/04/1982","","",""
"912794BF0","Bill","13-Week","04/26/1982","04/29/1982","07/29/1982","","",""
"912794BR4","Bill","26-Week","04/26/1982","04/29/1982","10/28/1982","","",""
"912827NC2","Note","2-Year","04/21/1982","04/30/1982","04/30/1984","","Semi-Annual","13.875%"
"912794BE3","Bill","13-Week","04/19/1982","04/22/1982","07/22/1982","","",""
"912794BQ6","Bill","26-Week","04/19/1982","04/22/1982","10/21/1982","","",""
"912794CB8","Bill","52-Week","04/15/1982","04/22/1982","04/21/1983","","",""
"912794AW4","Bill","13-Week","04/12/1982","04/15/1982","07/15/1982","","",""
"912794BP8","Bill","26-Week","04/12/1982","04/15/1982","10/14/1982","","",""
"912794BD5","Bill","13-Week","04/05/1982","04/08/1982","07/08/1982","","",""
"912794AZ7","Bill","26-Week","04/05/1982","04/08/1982","10/07/1982","","",""
"912827NB4","Note","7-Year","03/31/1982","04/07/1982","04/15/1989","","Semi-Annual","14.375%"
"9127937G5","Bill","20-Day","03/30/1982","04/02/1982","04/22/1982","","",""
"912794AV6","Bill","13-Week","03/29/1982","04/01/1982","07/01/1982","","",""
"912794BN3","Bill","26-Week","03/29/1982","04/01/1982","09/30/1982","","",""
"912827NA6","Note","4-Year","03/24/1982","03/31/1982","03/31/1986","","Semi-Annual","14.000%"
"912794AU8","Bill","13-Week","03/22/1982","03/25/1982","06/24/1982","","",""
"912794BM5","Bill","26-Week","03/22/1982","03/25/1982","09/23/1982","","",""
"912794CA0","Bill","52-Week","03/18/1982","03/25/1982","03/24/1983","","",""
"912827MZ2","Note","2-Year","03/17/1982","03/31/1982","03/31/1984","","Semi-Annual","14.125%"
"9127937J9","Bill","13-Week","03/15/1982","03/18/1982","06/17/1982","","",""
"912794BL7","Bill","26-Week","03/15/1982","03/18/1982","09/16/1982","","",""
"912794AT1","Bill","13-Week","03/08/1982","03/11/1982","06/10/1982","","",""
"912794AY0","Bill","26-Week","03/08/1982","03/11/1982","09/09/1982","","",""
"912794AS3","Bill","13-Week","03/01/1982","03/04/1982","06/03/1982","","",""
"912794BK9","Bill","26-Week","03/01/1982","03/04/1982","09/02/1982","","",""
"912827MY5","Note","5-Year 2-Month","02/24/1982","03/03/1982","05/15/1987","","Semi-Annual","14.000%"
"912794AR5","Bill","13-Week","02/22/1982","02/25/1982","05/27/1982","","",""
"912794BJ2","Bill","26-Week","02/22/1982","02/25/1982","08/26/1982","","",""
"912794BZ6","Bill","52-Week","02/18/1982","02/25/1982","02/24/1983","","",""
"912827MX7","Note","2-Year","02/17/1982","03/01/1982","02/29/1984","","Semi-Annual","15.125%"
"9127937H3","Bill","13-Week","02/16/1982","02/18/1982","05/20/1982","","",""
"912794BH6","Bill","26-Week","02/16/1982","02/18/1982","08/19/1982","","",""
"912794AQ7","Bill","13-Week","02/08/1982","02/11/1982","05/13/1982","","",""
"912794AX2","Bill","26-Week","02/08/1982","02/11/1982","08/12/1982","","",""
"912810CY2","Bond","29-Year 9-Month","02/04/1982","02/16/1982","11/15/2011","","Semi-Annual","14.000%"
"912827MW9","Note","10-Year","02/03/1982","02/16/1982","02/15/1992","","Semi-Annual","14.625%"
"912827MV1","Note","3-Year","02/02/1982","02/16/1982","02/15/1985","","Semi-Annual","14.625%"
"912794AP9","Bill","13-Week","02/01/1982","02/04/1982","05/06/1982","","",""
"912794BG8","Bill","26-Week","02/01/1982","02/04/1982","08/05/1982","","",""
"912794AN4","Bill","13-Week","01/25/1982","01/28/1982","04/29/1982","","",""
"912794BF0","Bill","26-Week","01/25/1982","01/28/1982","07/29/1982","","",""
"912794BY9","Bill","52-Week","01/21/1982","01/28/1982","01/27/1983","","",""
"912827MU3","Note","2-Year","01/20/1982","02/01/1982","01/31/1984","","Semi-Annual","15.000%"
"9127937G5","Bill","13-Week","01/18/1982","01/21/1982","04/22/1982","","",""
"912794BE3","Bill","26-Week","01/18/1982","01/21/1982","07/22/1982","","",""
"912794AM6","Bill","13-Week","01/11/1982","01/14/1982","04/15/1982","","",""
"912794AW4","Bill","26-Week","01/11/1982","01/14/1982","07/15/1982","","",""
"912827MT6","Note","7-Year","01/06/1982","01/13/1982","01/15/1989","","Semi-Annual","14.625%"
"912794AL8","Bill","13-Week","01/04/1982","01/07/1982","04/08/1982","","",""
"912794BD5","Bill","26-Week","01/04/1982","01/07/1982","07/08/1982","","",""
"912810CZ9","Bond","20-Year 1-Month","12/30/1981","01/06/1982","02/15/2002","","Semi-Annual","14.250%"
"9127937J9","Bill","163-Day","12/29/1981","01/05/1982","06/17/1982","","",""
"912794AK0","Bill","13-Week","12/28/1981","12/31/1981","04/01/1982","","",""
"912794AV6","Bill","26-Week","12/28/1981","12/31/1981","07/01/1982","","",""
"912794BC7","Bill","52-Week","12/23/1981","12/31/1981","12/30/1982","","",""
"912827MS8","Note","4-Year","12/22/1981","12/31/1981","12/31/1985","","Semi-Annual","14.125%"
"9127938H2","Bill","13-Week","12/21/1981","12/24/1981","03/25/1982","","",""
"912794AU8","Bill","26-Week","12/21/1981","12/24/1981","06/24/1982","","",""
"912827MR0","Note","2-Year","12/16/1981","12/31/1981","12/31/1983","","Semi-Annual","13.000%"
"912794AJ3","Bill","13-Week","12/14/1981","12/17/1981","03/18/1982","","",""
"9127937J9","Bill","26-Week","12/14/1981","12/17/1981","06/17/1982","","",""
"912794AH7","Bill","13-Week","12/07/1981","12/10/1981","03/11/1982","","",""
"912794AT1","Bill","26-Week","12/07/1981","12/10/1981","06/10/1982","","",""
"912794AC8","Bill","45-Day","12/01/1981","12/07/1981","01/21/1982","","",""
"9127937G5","Bill","136-Day","12/01/1981","12/07/1981","04/22/1982","","",""
"912794AG9","Bill","13-Week","11/30/1981","12/03/1981","03/04/1982","","",""
"912794AS3","Bill","26-Week","11/30/1981","12/03/1981","06/03/1982","","",""
"912794BB9","Bill","52-Week","11/25/1981","12/03/1981","12/02/1982","","",""
"912827MQ2","Note","5-Year 2-Month","11/24/1981","12/02/1981","02/15/1987","","Semi-Annual","12.750%"
"9127938G4","Bill","13-Week","11/23/1981","11/27/1981","02/25/1982","","",""
"912794AR5","Bill","26-Week","11/23/1981","11/27/1981","05/27/1982","","",""
"912827MP4","Note","2-Year","11/18/1981","11/30/1981","11/30/1983","","Semi-Annual","12.125%"
"912794AF1","Bill","13-Week","11/16/1981","11/19/1981","02/18/1982","","",""
"9127937H3","Bill","26-Week","11/16/1981","11/19/1981","05/20/1982","","",""
"912794AE4","Bill","13-Week","11/09/1981","11/12/1981","02/11/1982","","",""
"912794AQ7","Bill","26-Week","11/09/1981","11/12/1981","05/13/1982","","",""
"912810CY2","Bond","30-Year","11/05/1981","11/16/1981","11/15/2011","","Semi-Annual","14.000%"
"912827MN9","Note","10-Year","11/04/1981","11/16/1981","11/15/1991","","Semi-Annual","14.250%"
"912827MM1","Note","3-Year","11/02/1981","11/16/1981","11/15/1984","","Semi-Annual","14.375%"
"912794AD6","Bill","13-Week","11/02/1981","11/05/1981","02/04/1982","","",""
"912794AP9","Bill","26-Week","11/02/1981","11/05/1981","05/06/1982","","",""
"912794BA1","Bill","52-Week","10/29/1981","11/05/1981","11/04/1982","","",""
"9127937F7","Bill","13-Week","10/26/1981","10/29/1981","01/28/1982","","",""
"912794AN4","Bill","26-Week","10/26/1981","10/29/1981","04/29/1982","","",""
"912827ML3","Note","2-Year","10/21/1981","11/02/1981","10/31/1983","","Semi-Annual","15.500%"
"912794AC8","Bill","13-Week","10/19/1981","10/22/1981","01/21/1982","","",""
"9127937G5","Bill","26-Week","10/19/1981","10/22/1981","04/22/1982","","",""
"912794AB0","Bill","13-Week","10/09/1981","10/15/1981","01/14/1982","","",""
"912794AM6","Bill","26-Week","10/09/1981","10/15/1981","04/15/1982","","",""
"912827MK5","Note","7-Year","10/07/1981","10/14/1981","10/15/1988","","Semi-Annual","15.375%"
"912794AA2","Bill","13-Week","10/05/1981","10/08/1981","01/07/1982","","",""
"912794AL8","Bill","26-Week","10/05/1981","10/08/1981","04/08/1982","","",""
"912794AZ7","Bill","52-Week","10/01/1981","10/08/1981","10/07/1982","","",""
"912810CX4","Bond","20-Year 1-Month","09/30/1981","10/07/1981","11/15/2001","","Semi-Annual","15.750%"
"9127938F6","Bill","13-Week","09/30/1981","10/01/1981","12/31/1981","","",""
"912794AK0","Bill","26-Week","09/30/1981","10/01/1981","04/01/1982","","",""
"912827MJ8","Note","4-Year","09/23/1981","09/30/1981","09/30/1985","","Semi-Annual","15.875%"
"9127938E9","Bill","13-Week","09/21/1981","09/24/1981","12/24/1981","","",""
"9127938H2","Bill","26-Week","09/21/1981","09/24/1981","03/25/1982","","",""
"912827MH2","Note","2-Year","09/16/1981","09/30/1981","09/30/1983","","Semi-Annual","16.000%"
"9127938D1","Bill","13-Week","09/14/1981","09/17/1981","12/17/1981","","",""
"912794AJ3","Bill","26-Week","09/14/1981","09/17/1981","03/18/1982","","",""
"9127938C3","Bill","13-Week","09/04/1981","09/10/1981","12/10/1981","","",""
"912794AH7","Bill","26-Week","09/04/1981","09/10/1981","03/11/1982","","",""
"912794AY0","Bill","52-Week","09/03/1981","09/10/1981","09/09/1982","","",""
"9127937T7","Bill","9-Day","09/02/1981","09/08/1981","09/17/1981","","",""
"9127937B6","Bill","13-Week","08/31/1981","09/03/1981","12/03/1981","","",""
"912794AG9","Bill","26-Week","08/31/1981","09/03/1981","03/04/1982","","",""
"9127937T7","Bill","16-Day","08/28/1981","09/01/1981","09/17/1981","","",""
"912827MG4","Note","5-Year 2-Month","08/27/1981","09/08/1981","11/15/1986","","Semi-Annual","16.125%"
"9127938B5","Bill","13-Week","08/24/1981","08/27/1981","11/27/1981","","",""
"9127938G4","Bill","26-Week","08/24/1981","08/27/1981","02/25/1982","","",""
"912827MF6","Note","2-Year","08/20/1981","08/31/1981","08/31/1983","","Semi-Annual","16.250%"
"9127938A7","Bill","13-Week","08/17/1981","08/20/1981","11/19/1981","","",""
"912794AF1","Bill","26-Week","08/17/1981","08/20/1981","02/18/1982","","",""
"9127937Z3","Bill","13-Week","08/10/1981","08/13/1981","11/12/1981","","",""
"912794AE4","Bill","26-Week","08/10/1981","08/13/1981","02/11/1982","","",""
"912794AX2","Bill","52-Week","08/07/1981","08/13/1981","08/12/1982","","",""
"912810CV8","Bond","29-Year 9-Month","08/06/1981","08/17/1981","05/15/2011","","Semi-Annual","13.875%"
"912827ME9","Note","10-Year","08/05/1981","08/17/1981","08/15/1991","","Semi-Annual","14.875%"
"912827MD1","Note","3-Year 3-Month","08/04/1981","08/17/1981","11/15/1984","","Semi-Annual","16.000%"
"9127937A8","Bill","13-Week","08/03/1981","08/06/1981","11/05/1981","","",""
"912794AD6","Bill","26-Week","08/03/1981","08/06/1981","02/04/1982","","",""
"9127937R1","Bill","23-Day","07/31/1981","08/04/1981","08/27/1981","","",""
"9127937Y6","Bill","13-Week","07/27/1981","07/30/1981","10/29/1981","","",""
"9127937F7","Bill","26-Week","07/27/1981","07/30/1981","01/28/1982","","",""
"912827MC3","Note","2-Year","07/22/1981","07/31/1981","07/31/1983","","Semi-Annual","15.875%"
"9127937X8","Bill","13-Week","07/20/1981","07/23/1981","10/22/1981","","",""
"912794AC8","Bill","26-Week","07/20/1981","07/23/1981","01/21/1982","","",""
"9127937W0","Bill","13-Week","07/13/1981","07/16/1981","10/15/1981","","",""
"912794AB0","Bill","26-Week","07/13/1981","07/16/1981","01/14/1982","","",""
"912794AW4","Bill","52-Week","07/09/1981","07/16/1981","07/15/1982","","",""
"9127936Z4","Bill","13-Week","07/06/1981","07/09/1981","10/08/1981","","",""
"912794AA2","Bill","26-Week","07/06/1981","07/09/1981","01/07/1982","","",""
"912827MB5","Note","7-Year","06/30/1981","07/07/1981","07/15/1988","","Semi-Annual","14.000%"
"9127937V2","Bill","13-Week","06/29/1981","07/02/1981","10/01/1981","","",""
"9127938F6","Bill","26-Week","06/29/1981","07/02/1981","12/31/1981","","",""
"912810CW6","Bond","20-Year 1-Month","06/25/1981","07/02/1981","08/15/2001","","Semi-Annual","13.375%"
"912827MA7","Note","4-Year","06/23/1981","06/30/1981","06/30/1985","","Semi-Annual","14.000%"
"9127937U4","Bill","13-Week","06/22/1981","06/25/1981","09/24/1981","","",""
"9127938E9","Bill","26-Week","06/22/1981","06/25/1981","12/24/1981","","",""
"912827LZ3","Note","2-Year","06/18/1981","06/30/1981","06/30/1983","","Semi-Annual","14.625%"
"9127937T7","Bill","13-Week","06/15/1981","06/18/1981","09/17/1981","","",""
"9127938D1","Bill","26-Week","06/15/1981","06/18/1981","12/17/1981","","",""
"9127937J9","Bill","52-Week","06/11/1981","06/18/1981","06/17/1982","","",""
"9127936Y7","Bill","13-Week","06/08/1981","06/11/1981","09/10/1981","","",""
"9127938C3","Bill","26-Week","06/08/1981","06/11/1981","12/10/1981","","",""
"9127936C5","Bill","15-Day","06/03/1981","06/03/1981","06/18/1981","","",""
"9127936V3","Bill","20-Day","06/02/1981","06/05/1981","06/25/1981","","",""
"9127937S9","Bill","13-Week","06/01/1981","06/04/1981","09/03/1981","","",""
"9127937B6","Bill","26-Week","06/01/1981","06/04/1981","12/03/1981","","",""
"912827LY6","Note","5-Year 5-Month","05/28/1981","06/03/1981","11/15/1986","","Semi-Annual","13.875%"
"9127937R1","Bill","13-Week","05/22/1981","05/28/1981","08/27/1981","","",""
"9127938B5","Bill","26-Week","05/22/1981","05/28/1981","11/27/1981","","",""
"912827LX8","Note","2-Year","05/20/1981","06/01/1981","05/31/1983","","Semi-Annual","15.625%"
"9127937Q3","Bill","13-Week","05/18/1981","05/21/1981","08/20/1981","","",""
"9127938A7","Bill","26-Week","05/18/1981","05/21/1981","11/19/1981","","",""
"9127937H3","Bill","52-Week","05/14/1981","05/21/1981","05/20/1982","","",""
"9127936X9","Bill","13-Week","05/11/1981","05/14/1981","08/13/1981","","",""
"9127937Z3","Bill","26-Week","05/11/1981","05/14/1981","11/12/1981","","",""
"912810CV8","Bond","30-Year","05/07/1981","05/15/1981","05/15/2011","","Semi-Annual","13.875%"
"912827LW0","Note","10-Year","05/06/1981","05/15/1981","05/15/1991","","Semi-Annual","14.500%"
"912827LV2","Note","3-Year","05/05/1981","05/15/1981","05/15/1984","","Semi-Annual","15.750%"
"9127937P5","Bill","13-Week","05/04/1981","05/07/1981","08/06/1981","","",""
"9127937A8","Bill","26-Week","05/04/1981","05/07/1981","11/05/1981","","",""
"9127937N0","Bill","13-Week","04/27/1981","04/30/1981","07/30/1981","","",""
"9127937Y6","Bill","26-Week","04/27/1981","04/30/1981","10/29/1981","","",""
